"I'm not sure.",ちょっとわからないな。
"Is it any good?",そこ、良いの？
"My friend went and loved it.",友達は良かったと言ってたよ。
"Rain or sunshine, you always find something fun.",天気がどうであれ、君はいつも楽しそうなことを見つけてくれるね。
"I want to show you something I found!",君に見せたいものがあるんだ！
"That is crazy! Is this real?!",信じられない！これ本物なの？！
"Yes. My friend shared it this morning.",本物だよ。友達が今朝シェアしてくれたんだ。
"Can you send it to me?",私にも送ってくれないかな？
"Sure. I'll send it on LINE.",もちろん。LINEで送るよ。
"My coworker will get a kick out of this.",これを同僚に見せたら喜ぶだろうな。
"Was this store bought?",これはお店で買ったの？
"Nope! Made it all from scratch!",ちがうよ。ゼロから作ったの。
"This is unbelievably good.",信じられないくらい素敵だよ。
"It's not that good.",そんなことないよ。
"You could open a restaurant with this.",ここでレストラン開けるじゃん。
"You think so?",ほんと？
"This week has been a killer!",今週は本当大変だったよ。
"Here, try this bath bomb.",はいこれ、この入浴剤試してみなよ。
"Great idea to relax.",リラックスするのに良さそうだね。
"It's got lavender and other scents.",ラベンダーとか他の香りのものもあるよ。
"Is the bath free?",タダでいいの？
"Yes. It's all yours!",もちろん！好きなように使ってね！
"The drain is clogged.",排水溝が詰まってるよ。
"It's probably clogged up with hair.",たぶん髪の毛が詰まってるんだろう。
"Ew, gross! I can't do it.",気持ち悪い！私にはできないよ。
"It's alright. I gotcha.",大丈夫、私が掃除するよ。
"What would I do without you?",あなたがいなかったら途方にくれたかもしれない。
"Probably paying a plumber.",きっと水道業者を呼ぶだろうね。
"Ok. I am off to bed.",よし、そろそろ寝るね。
"Ok! I'll see you in the morning.",分かった。また明日ね。
"I'll be up early tomorrow.",明日は早起きする予定だから。
"How early?",何時に起きるの？
"Early early. Before the sun is up.",めちゃくちゃ早起きするよ。夜が明ける前に起きる予定。
"Don't forget to set your alarm.",目覚ましをかけるの忘れずにね。
"I'm about to pass out!",もう、今にも寝ちゃいそう。
"Go to bed early then.",早く寝たほうがいいんじゃない。
"I will after I'm done with this.",これが終わったら寝るよ。
"Don't push yourself.",無理せずにね。
"Don't worry! I won't!",大丈夫、無理はしないよ。
"Let me know if you need help!",何か手伝うことがあれば言ってね。
"This makeup covers anything!",この化粧品、全部カバー出来ちゃう。
"Do you mind if I try it?",私も試してもいい？
"Sure. You only need a dab of it.",いいよ。少しで十分だよ。
"Is this much ok?",このくらいかな？
"Yeah. That will work.",うん、そのくらいで十分。
"It covers well but it feels heavy.",カバー力は高いけど、ちょっとマットすぎるみたい。
Mornin'.,おはよう。
"Morning! How'd ya sleep?",おはよう！よく眠れた？
"I had a crazy dream.",変な夢を見たんだ。
"Me too! Tell me yours first.",私もよ！先に話して。
"It didn't make any sense.",それがよくわからなかったんだ。
"Dreams are like that.",夢はそういうものだよね。
"Where are you heading to?",どこにいくの？
"I'm going to hit the hay.",ベッドに横になるよ。
"Wow! Look at the hour!",あ！もうこんな時間！
"Yeah, it is super late for me.",そう、もうだいぶ遅いよ。
"Yeah, you usually go to bed earlier.",そうか。いつも寝るの早いもんね。
"Thankfully, tomorrow is my day off.",でもありがたいことに、明日は休みだ。
"Did you order out?",出前を取ったの？
"I did because it's pouring outside.",雨がすごいからね。
"I feel bad for the delivery guy.",宅配員に申し訳ないね。
"I'll make sure to tip well.",多めにチップを払うよ。
"Do you have cash on you?",現金は持ってるの？
"Yep. I pulled some yesterday.",うん、昨日下ろしたよ。
"Have you seen my face cream?",私のフェイスクリーム見かけなかった？
"It's not on the counter?",カウンターの上にないの？
"I'm not seeing it.",いや、見つからないんだ。
"Oh. That's right.. I used some yesterday",あ、そうだ、昨日使ったんだった。
"You didn't put it back?",元に戻してないの？
"It's around here somewhere.",この辺にあるはずだけどな。
"Breakfast, the most important meal of the day!",朝ご飯は一日の中で一番大切なんだ。
"Unless it's doughnuts.",ドーナツでなければね。
"Well doughnuts have eggs, milk...",でもドーナツは卵と牛乳と....
"..And tons of sugar!",....大量の砂糖ね！
"It's not that bad.",そんなに悪くないと思うんだけどなぁ。
"It is that bad.",いや、結構やばいよ。
"Don't use all the hot water, please.",お湯の出し過ぎに気をつけてね。
"I'll be in and out.",早く出るよ。
"I got more of the shampoo you like.",きみの好きなシャンプー買ってきたよ。
"Thanks! I saw that.",ありがとう！さっき気づいたよ。
"It's been 15 minutes. You still in the shower?",15分経ったよ。まだ浴びてるの？
"Sorry! I lost track of time.",ごめん！時間を見てなかった！
"Have you seen my black shirt?",私の黒いシャツ見なかった？
"Check the dryer.",乾燥機の中にない？
"It's here, but it's not dry",あったけど乾いてない。
"Run a hair dryer on it",ドライヤーで乾かしてみて。
"Ah! Such a hassle..",はあ。面倒だな。
"I'll call for the mechanic later.",あとで修理屋さんに問い合わせてみるから。
"I'll be gone for a few hours.",ちょっと出かけるね。
"When will you be home?",何時ごろに戻るの？
"Maybe around 9(PM)?",21時ごろかな。
"Can you check in so I don't worry?",心配になるから連絡してね。
"I will keep you updated.",ちゃんと連絡するよ。
"You know I'm a worry wart at times.",心配性なの知ってるでしょ。
"Oh, you're home!",もう帰ったの？おかえり！
"Yeah, I got off early.",うん、早めに上がったんだ。
"Was it not busy at work?",そんなに忙しくなかったの？
"Not really. It was up and down.",そうだね、忙しくなったり暇になったり。
"You needed the rest.",しっかり休まないとね。
"Let's count our lucky stars.",早く帰れて良かったよ。
"Hi! What can I get for you today?",いらっしゃいませ、ご注文をお伺いします。
"A medium coffee and a plain bagel please.",ミディアムサイズのコーヒーとプレーンのベーグルをお願いします。
"That will be $15.70.",お会計が$15.70になります。
"Can I pay with card?",カードで払ってもいいですか？
"Of course! Insert it here, please.",もちろん！こちらにカードを挿入してください。
"Your order will be ready at the next counter.",ご注文の品は隣のカウンターでお渡しします。
"Thank you!",ありがとうございます。
"Hi, is there anything I can help you with today?",こんにちは。おうかがいしましょうか？
"Just browsing, thank you",見ているだけなので結構です。
"Ok, no problem, let me know if you need anything.",わかりました。何かございましたらいつでもお声がけください。
"Can I try this on?",これを試着してもいいですか？
"Sure! The fitting room is this way.",もちろん！試着室へご案内いたします。
"That color looks great on you!",そちらのお色、とても似合ってますよ。
"What do you like to do for fun?",好きなことはなんですか？
"Anything that involves outdoors.",アウトドアはなんでも好きです。
"Oh, like hiking?",ハイキングとかですか？
"Yes. And camping, running, etc.",はい。キャンプもランニングも好きです。
"What about video games?",テレビゲームは好きですか？
"Yep! I do it to relax on weekends. You?",好きです！週末にゲームをしてリラックスします。あなたは？
"Why did you do that?",何でそうしたの？
"Because I didn't feel like dealing with it.",向き合うのが面倒だったから。
"Tell me when you are upset.",気に食わないことがあれば言ってよ。
"Why? It doesn't help me.",なんで？そんなことに意味があるの？
"It can't be worse than what happened.",ひどい言い方だね。
"It's hard to open up sometimes.",気持ちを伝えるのが難しい時だってあるよ。
"I can't believe you did that.",どうしてそんなことをしたんだ！
"Like I care what you think.",どう思われても構わない。
"You are so self-centered!",君はほんとに自分のことばかりだ。
"Just worry about yourself.",じゃあ自分の心配だけしてればいいじゃない。
"That's it! I'm through with you!",もういい！もう終わりだ！
"Are you leaving me?",私と別れるの？
"Let's go here if you are not busy.",忙しくなければここに行こう。
"This looks so fun! I'll be free.",楽しそう！予定は空いてるよ。
"I wonder if Mary can go too.",マリーも一緒に行けるかな。
"She would be down to go.",彼女も絶対行きたがるよ。
"Yeah. She loves stuff like this.",そうだよね。こういうの好きだもんね。
"Messaging her right now!",今彼女に連絡しているから！
"They're selling Christmas stuff already?",もうクリスマスの商品売ってるの？
"It's only September!",まだ９月なのに！
"We have to first celebrate Halloween!",先にハロウィンのお祝いしなくちゃ。
"Oh look! There are costumes here!",見てよ！仮装グッズが並んでるよ！
"Let's check it out!",見てみよう！
"Looks like they have something for anyone.",誰にでも合いそうな衣装がたくさんあるね。
"($)20 on pump 12, please.",12番、20ドル分の給油をお願いします。
"Cash or credit?",現金またはカード、どちらで支払われますか？
"Cash. Can I also get a scratch off?",現金でお願いします。スクラッチも購入していいですか？
"Sure. Which one would you like?",かしこまりました。どれにしますか？
"How about the $5 one?",５ドルのものをお願いします。
"You're total comes to $25.50.",お会計が25.5ドルになります。
"Can you check this for me?",こちら、確認してもらえますか？
"Yes. Please wait a moment.",はい。少々お待ちください。
"You don't have to rush.",急がなくていいですよ。
"Thank you for waiting on the line.",お待ちいただき、ありがとうございます。
"Not a problem.",とんでもないです。
"There seems to be an error.",何かのエラーが起きているようです。
"Would you mind covering Saturday?",土曜日のシフトに入ってもらってもいいかな？
"Sure. Did someone call in?",もちろん。誰か休むんですか？
"Yes. Someone had a family emergency.",はい、家族の急用があるみたいで。
"I can be there in the morning.",朝には出勤できるようにします。
"You're a lifesaver!",まさに救いの神です！
"I needed more hours anyway!",どのみちもっと働きたかったので！
"I can't decide on what to eat!",何を食べるか迷うなぁ。
"Maybe try one of their specials.",ここのおすすめ頼んでみたらどう？
"I wonder if I can order some to go?",テイクアウトもできるのかな。
"I'll ask.",聞いてみるね。
"What'd they say?",なんて言われた？
"With the specials, you can't.",おすすめメニューはテイクアウト出来ないみたい。
"I want to get a whole new wardrobe!",新しいクローゼットが欲しいんだ！
"You sure do love clothes.",ほんとに服が好きだもんね。
"Let's try this store.",このお店に入ってみよう。
"Look at this outfit.",ねえ、この服見て！
"What a great price!",すごくお買い得だね！
"Go try it on.",試着してみたら？
"Where do you keep your milk?",牛乳はどこにあるの？
"At the back of the store. Next to the cheese.",店の奥の方にあるチーズ棚の隣です。
"Could you show me?",案内してもらえますか？
"Sure thing. Right this way.",もちろんです。こちらになります。
"Thank you! It's a maze in here.",ありがとうございます。この店、迷路みたいですよね。
"Here you are!",こちらです！
"After this task, let's call it a day.",これが終わったら、今日は終わりにしよう。
"We can do the rest tomorrow.",続きは明日にしましょう。
"Hopefully, we can clear the rest (of the tasks) before the meeting.",会議が始まるまでに終わるといいんですが。
"We should if everything goes right.",上手くいけばきっと終わりますよ。
"What if it doesn't?",上手くいかなかったらどうしましょう。
"We'll explain and they'll understand.",きちんと説明すれば分かってくれますよ。
"What did you think of the date?",今日のデートはどうだった？
"I fully enjoyed it!",めちゃくちゃ楽しかったよ！
"Want to give another one a shot?",またデートしてくれるかな？
"That would be nice!",良いわよ！
"Let's say.. next week?",じゃぁ....来週は？
"Yeah. I'll keep next weekend free.",いいよ、来週空けておくね。
"How have things been lately?",最近どう？
"Same old. Same old.",普通だよ。いつも通りって感じ。
"Any plans for the holidays?",祝日の予定は？
"Not doing much. You?",特に決まってないよ。君は？
"Not much. Let's do something.",僕も特に。何かしようよ。
"Yeah! It's been a while!",いいね！久しぶりに！
"Is it possible to box this? (taking the rest of the food home)",こちらお持ち帰りしても良いですか？
"Of course! You did pay for it.",もちろんです！支払いも済んでますし。
"I can box it myself. You seem busy.",自分で詰めますよ。忙しそうなので。
"We are swamped! But, I don't mind doing it.",おっしゃる通りですが、お手伝いできますよ。
"Don't overdo it! You'll burn out.",無理しないでくださいね！倒れてしまったら大変です。
"Regulars like you make my day.",あなたのような常連さんがいてくれて、本当にありがたいです。
"I lost my membership card.",会員証を無くしてしまいました。
"We can look you up by phone number!",お客様の電話番号で検索出来ますよ。
"Great! But, I don't know which phone number I used.",ありがとうございます！でもどの番号で登録したか覚えていません。
"How about your cell number?",電話番号を教えてもらえますか？
"I'll try punching it in.",入力してみます。
"It went through! I'll ring you up now.",出来ました！お会計させていただきますね。
"I can't decide between M or L size.",MサイズかLサイズで迷っています。
"What's it made with?",素材は何ですか？
"100% Cotton.",綿100％です。
"That means it will shrink in the dryer.",乾燥機で回すと縮んでしまうわね。
"So, I should go with the L then.",そしたらLサイズにしようかな。
"Probably. Just to be on the safe side.",そうね。念のためにね。
"How can I help you?",どうされましたか？
"I am behind on my bill.",支払いが滞っています。
"We can postpone the due date til next month.",請求日を来月まで延長できますよ。
"That would be greatly appreciated!",それは本当にありがたいです。
"No problem. Is there anything else I can help you with?",とんでもございません。他に何かお伺いしましょうか？
"No thank you. That is all for today!",いえ、今日のところは結構です。
"Can I get a coffee?",コーヒーを頼んでも良いですか？
"Yes. We have a self-service station over there.",はい。あちらにセルフのマシーンがございます。
"Should I pay before or after getting it?",先払いですか？後払いですか？
"You can do it after.",コーヒーを淹れてからの支払いで構いません。
"Do you have creamer?",クリームはありますか？
"Of course! We have many flavors next to the machine.",もちろんです！マシーンの隣にたくさんありますよ。
"This mall is enormous!",このモール、すごく大きいね！
"You should see it during the holidays.",祝日はもっと人がいるよ。
"What's going on during the holidays?",祝日はなにかあるの？
"They deck out the place with decorations.",このモールの全体が飾り付けされるのよ。
"I'll have to come back around then.",その時にまた来なくちゃ。
"You should. They do a lot of lights, music... everything!",ええ。たくさんの飾り付けに音楽に....他にもたくさん！
"You have such a cute dog!",あなたのワンちゃん、なんて可愛いの！
"Thank you! She's a mess though. (this means she can be difficult to own sometimes)",ありがとうございます！世話が焼ける子ですけどね。
"I can't figure out what she is. Is she mix?",種類が分からないのですが...雑種犬ですか？
"She's a mutt. Labrador and Husky mix.",そうです。ラブラドールとハスキーのミックスです。
"Ah, I see! Huskies can be a handful.",なるほど！ハスキーはお世話が大変ですよね。
"You're telling me!",全くその通りです！
"Your outfit is cute.",今日の服、とてもお似合いですね。
"Thank you! It's just thrift.",ありがとうございます！ただの古着ですけどね。
"Which thrift store?",どこの古着屋ですか？
"It's in town. It's called ABC123.",街中の、ABC123というところです。
"They let you sell used clothes there too?",古着の買取もしてくれますか？
"Yeah! They give fair estimates.",はい！きちんと見積もりをしてくれますよ。
"What do you mean?",どういう意味ですか。
"You and your mood swings.",君の気分の浮き沈みが気になってね。
"It's just been a rough week.",今週は大変だったんだ。
"Then talk to me about it.",それなら話してみてよ。
"It's hard opening up.",そんなに簡単なことじゃないんだよ。
"Have you tried this soup?",このスープは飲まれましたか？
"I have but nothing beat this one.",ええ。このスープに勝るものはないですよ。
"I'm new to this store. Thanks.",この店は初めてなんです。それなら良かった。
"It's a bit pricey but worth it.",値段はなかなかですが、試してみる価値はありますよ。
"I'll give it a shot.",試してみます。
"You won't regret it!",後悔はしないと思います！
"Do you happen to have this product?",この商品はありますか？
"I'll go check for you. One moment.",在庫確認いたしますので少々お待ちください。
"We do have it and they are in stock.",在庫の確認が取れました。
"Ok. I'll come by later today!",そうですか。では後ほど取りに伺います。
"I will hold it for you until tonight.",本日の夜まで取置きさせていただきます。
"You are more than I imagined.",君は想像以上の人だ。
"What did you imagine?",どんな人を想像してたの？
"Oh sorry. I didn't mean it like that.",あ、ごめん、そういう意味じゃないんだ。
"It's natural to put your guard up.",壁を作るのは自然なことだと思うけど。
"You've had your share of heartbreaks?",今まで沢山傷ついてきたってことかな？
"More than I would like.",ええ、想像以上にね。
"You've been distant lately.",最近会わなかったね。
"I've been having a hard time lately.",いろいろと大変だったの。
"Sounds like we need a night out.",それなら遊びあかさないとね。
"You don't have to do that.",そんなことしなくていいよ。
"No, it's my treat! What are friends for?",いや、奢るから行こう！友達ってそういうものでしょ？
"You're the best.",君は最高の友達だよ。
"It's so hard expressing myself in Japanese.",自分の気持ちを日本語で表すって難しい。
"Really? Is English that different?",そうなの？そんなに英語と違うんだ？
"Yes. Maybe Japanese people say so too.",うん。きっと日本人にとっても英語は難しいよね。
"I guess I can't relate. I only know English.",私は英語しか話せないから気持ちが分からないな。
"I long for the day when I live overseas.",いつか海外移住できれば良いな。
"It'll come true one day!",きっと実現できるよ。
"How many sets do you have left?",あと何セット残ってる？
"Just two more.",あと２セット。
"No rush. I'll be stretching over there.",急がなくていいよ。向こうでストレッチしておくね。
"I'll let you know when I'm done.",終わったら言うよ。
"You are killing it by the way.",良い動きしてるね！
"Thanks. I learned everything from this Youtuber.",ありがとう！全部このユーチューバーから学んだんだよ。
"You can go ahead.",お先にどうぞ。
"I'll stay with you",一緒に登るよ。
"Feels like I'm hiking Everest.",エベレストを登ってる感覚だ。
"This trail is not for the faint of heart.",この程度の山道で気弱になってどうするの。
"It said differently online.",ネットではこんな山道とは記載されてなかったのに。
"Right! I can't depend on this website anymore.",確かに！ネット情報は信用できないね。
"What's wrong with me?!",私ってどうかしてるわ！
"It was an honest mistake.",仕方ないことだよ。
"I'm for sure getting fired.",絶対クビだ。
"Don't be so dramatic.",そんなの大袈裟だよ。
"Sorry, I am overwhelmed right now.",ごめん、今ちょっとテンパってるみたい。
"I'll come to your defense if he gets mad.",彼が怒鳴り始めたら味方になるよ。
"I think we should take a break.",少し距離を置いた方がいいかもしれない。
"Just say you don't want to be together.",一緒にいたくないってはっきり言えばいいよ。
"You're not someone I can lean on.",あなたは頼れる人じゃない。
"So much for not being a quitter.",諦めないと言っていたのに全然違ったね。
"This relationship is beyond repairing.",この関係性は修復不可能ね。
"How can you say that!?",なんでそんなことが言えるの？！
"Do you happen to have this in a size M?",この洋服のMサイズはありますか？
"I will check the back for you.",確認して参ります。
"I greatly appreciate it.",助かります。
"We don't have it but I can deliver one to you.",店舗の在庫はないのですが、お取り寄せと配送の対応は可能でございます。
"I was hoping to try it on before buying it.",購入前に一度試着したいのですが。
"We can call you when they are back in stock.",では再入荷したら連絡させていただきます。
"Why does it have to rain today??",どうして今日雨なの！
"Why? What's the matter?",何で？何か困ることでもあるの？
"I'm heading to a concert this afternoon.",午後からコンサートがあるの。
"Maybe it'll pass thru quickly.",通り雨かもよ。
"The ground will still be wet.",でも地面は濡れたままでしょ。
"Dancing in puddles doesn't sound too bad.",水溜りで踊るには最高だよ。
"What brings you in today?",今日はどうなさいましたか？
"I have this cough that I can't kick.",咳が止まりません。
"Ok. Let me take a look at you.",わかりました。ちょっと診てみましょう。
"I've tried everything.",色々やってみたんですが。
"I'll put you on a strong dose of medicine",強めのお薬を処方しておきます。
"Let's hope it knocks it out.",治ってくれるといいんですが。
"The bell is ringing.",チャイムだ！
"We should go inside.",戻らなきゃ。
"It's so great to see you again.",みんな今日も元気そうね。
"Teacher、may I open the window?",先生、窓を開けてもいいですか？
"It's very hot in the classroom today.",今日は教室の中がとっても暑いですね。
"Make sure you raise your hand before you speak.",ちゃんと手をあげてから発表してね。
"May I come in?",入ってもいいですか？
"You may go to your place.",席についていいですよ。
"Please raise your hand!",手をあげてください。
"Stand up.",立って。
"Sit down.",座って。
"What date is it today?",今日は何月何日ですか？
"It's May 20th.",5月20日です。
"Did you do your homework?",宿題はやってきましたか？
"No talking out of turn.",先生が話している時は聞いてね。
Great!,すばらしい！
"Let's check it.",確認しましょう。
"Please open your books to page 110.",テキストの110ページを開いてください。
"Teacher、 may I ask you a question?",先生、質問してもいいですか？
"Put away your school bag.",カバンを片付けなさい。
"I don't understand.",わかりません。
"That's not fair.",ずるいよ。
"Let's take a shortcut.",近道しよう。
"I don't have a pencil.",鉛筆を持っていません。
"May I borrow one from my classmate?",友達から借りてもいいですか？
"Please come to the blackboard.",黒板のところにきてください。
"Well done!",よくできました！
"You may go back to your place.",席に戻っていいですよ。
"Please be quiet!",静かにしてください。
"Stop talking and pay attention!",お話をやめて、こちらをみてください。
"I dropped my pen.",ペンを落としました。
"Please pick it up.",拾ってください。
"It's ok.",大丈夫です。
"Who wants to clean the blackboard.",誰か黒板をきれいに消してください。
"Hold hands.",手をつないでください。
"It's break time.",休み時間です。
"Would you like to go outside in the schoolyard?",校庭に行かない？
"That sounds awesome!",いいね！
"Let's line up.",並びましょう。
"What is your favorite subject?",好きな科目は何？
"Take turns.",順番に使いましょう。
"I love English very much.",英語が好き。
"Breaktime is over.",休み時間、終わりだ。
"Let's go back into the classroom.",教室に戻ろう。
"What class is next?",次の時間割なに？
"Let's see who's absent today.",誰が今日お休みなのか確認しましょう。
"I'm starving.",お腹すいた！
"Wash up before eating.",食べる前に手を洗ってね。
"No running in the halls!",廊下を走らないの！
"Walk slowly!",静かに歩きなさい！
"No yelling!",叫ばないで！
"That paper ball belongs to you.",その紙くずはあなたのよ。
"Please throw it to the trash can.",ゴミ箱に入れてください。
"The first class is English.",一時間目は英語だ。
"Let's first take a roll call.",出席をとります。
"Kensuke、 you were absent for three days.",ケンスケ、あなた三日間もお休みしてたね。
"I was pretty sick.",私、ちょっと具合が悪かったんです。
"But I'm ok now.",でも、もう大丈夫です。
"I'm glad to hear that.",それは良かった。
"I haven't finished it yet.",まだ終わってません。
"I didn't know it was due today.",今日までだって知りませんでした。
"It seems you didn't pay attention to a word I said.",話を聞いてなかったようですね。
"Are you with us?",集中してますか？
"Eyes front please.",こちらを見てください。
"May I go to the bathroom?",トイレに行ってもいいですか？
"Please take out your books and turn to p35.",教科書を出して35ページをめくってください。
"Now please work in pairs.",では、ペアになって作業してください。
"Keep your voices down.",大きな声はださないで。
"You have 10 minutes to do it.",10分間あげます。
"We'll have to stop here.",今日はここまで。
"Class dismissed.",終わりにします。
"One more time.",もう一度。
"Keep running!",走り続けて。
"Lie with the back on the floor.",床に仰向けになって。
"Breathe in and breathe out.",息を吸って、吐いて。
"That was exhausting!",疲れたー。
"I'm so sweaty.",汗かいたー。
"Please swap with Natsuo.",ナツオと変わりなさい。
"I have brought you the test's result.",テストの結果をくばります。
"I only got two wrong.",二箇所しか間違えなかった。
"What's grade on my test?",ぼくのテストの結果はどうですか？
"Did I do well?",よくできてましたか？
"I'm very disappointed.",もう、ガッカリだよ。
"My parents will be upset.",親に叱られる。
"Your grades will be better if you study hard.",一生懸命勉強すれば、必ず成績も良くなりますよ。
"What’s the big deal?",そんな騒ぐほどのこと？
"That can wait.",それは後回しでいい。
"I'll do it if I feel like it.",気が向いたらやります。
"What does that even mean?",訳がわからないんだけど。
"I'm going to go unless it rains.",雨さえ降らなければ行くつもり。
"Can you take it from here?",あとは任せて大丈夫？
"Maybe I know.",心当たりがある
"What did you say?",なんて言ったの?
"I couldn't agree more.",全く同感です。
"Wait for people to get off.",降りる人が先だよ。
"I can't get the smell out.",匂いが取れない。
"How does it work?",どういう仕組みですか？
"How much do I owe you?",いくら払えばいいですか？
"I don't have many opportunities to communicate in English.",英語で話す機会がない
"It is what it is.",しょうがないね。
"It didn’t feel right.",なんか、しっくりこなかった。
"Which do you think will win?",どっちが勝つと思う？
"I gave myself an ulcer.",ストレスで胃潰瘍になった。
"Let's vote on it.",多数決で決めよう。
"That's my line.",それはこっちのセリフです。
"What changed your mind?",どうして気が変わったの？
"Where does it hurt?",どこが痛いの？
"How should I say it in this case?",こんな場合なんて言ったらいい？
"Does it ring a bell?",心当たりありますか？
"just in case.",念のため
"Before I realize it",知らず知らずのうちに
"Your point is well taken.",仰ることはよく分かりました。
"I'm sorry to bother you,",お忙しいところすみませんが、、
"Could you get in line, please?",ちゃんと列に並んでください
"Like I've said before,",さっきも言ったけど
"I can't even.",やってられない。
"You never know till you try.",やってみるまで分からない。
"I’m chilling at home.",家でまったりしている
"What's your point?",で、何が言いたいの？
"Whose side are you on?",どっちの味方なの？
"Let me know when you get to the station.",駅に着いたら教えて
"Do you want me to help?",手伝おうか？
"It took an hour to make dinner.",夕飯を作るのに１時間かかった
"I beg to differ.",お言葉ですが、違うと思います。
"I'll bring you one right away.",すぐに持ってきます。
"Find the good in others.",相手の良いところを見つけて
"Read the room.",空気を読んでよ!
"Are you ok with all these people?",人混みは平気ですか？
"I will call you back.",折り返し電話をかけ直します
"Who is responsible for this?",これは誰の責任なんだ？
"We drifted apart.",なんとなく会わなくなった。
"Go easy on me.",お手柔らかにお願いします。
"Have you got everything?",忘れ物はないですか？
"He's always looking at his phone.",彼はいつもスマホを見ている。
"It's not sold anywhere.",どこにも売ってない。
"Let's get down to business.",さて、本題に入りましょう。
"Has your cold gotten better?",風邪は良くなった？
"Thank you as always.",いつもありがとうございます
"I don't want to waste this chance.",このチャンスを無駄にしたくない。
"I'm going grey.",白髪が増えてきた。
"He's always complaining.",彼は常に文句を言っている。
"It's off the main road.",大通りから、ちょっと入ったところ。
"Look where you're going.",前を見て歩いて。
"It took 6 months to get used to it.",慣れるのに半年かかった。
"The days are getting shorter.",日が短くなってきたね。
"It takes getting used to.",慣れが必要。
"This is in the way.",これは邪魔だ。
"It's harder than it looks.",簡単そうに見えて難しい。
"That's news to me.",それは初耳だね。
"Don't tell anyone!",誰にも言わないでほしいんだけど
"I'll send you a link.",リンクを送りますね。
"That's what I want to know!",それはこっちが聞きたいよ。
"Keep it short.",手短に話してください。
"I'll pass this time.",今回はやめておきます
"How about your country?",あなたの国はどうですか？
"Have you come up with an idea?",何かアイデアは思いつきましたか？
"What time does the breakfast start?",朝食は何時からですか？
"I want to live abroad sometime.",いつか海外に住みたいな。
"I can't resist sweets.",甘いものに目がない。
"Could I have a receipt, please.",領収書いただけますか？
"Looks are deceiving.",人は見かけによらない
"That is a serious problem.",それは深刻な問題ですね。
"Twenty centimeters in depth.",奥行き20センチ
"Do you like it here?",ここが気に入りましたか？
"May I ask who's calling?",どちら様でしょうか？
"What can I do for you?",何かご用ですか？
"Could you accept cash?",現金で払えますか？
"I'd like to get rid of my stress.",ストレスを発散したい
"Can I carry this onto the plane.",これ、機内に持ち込めますか？
"There are ups and downs.",良いときもあれば悪いときもある
"I think you are sitting in my seat.",そこは私の席だと思うのですが。
"Thank you for supporting me, always.",いつも応援、ありがとうございます
"I want a friend my own age.",同年代の友達が欲しい
"Any day other than Monday is fine",月曜日以外は大丈夫です。
"Japanese people are very conscious of other people's opinions",日本人は人の目を気にしすぎる
"I can't stop sneezing",くしゃみがとまらない。
"No two ways about it.",議論の余地はないよ。
"I’m always on your side!",いつもあなたの味方です！
"You're overthinking it.",考えすぎだよ。
"It looks good on you.",お似合いです。
"Look on the bright side.",プラス思考で行こうよ。
"What do you do?",あなたの仕事は何ですか。
"Can I return this product?",この商品を返品できますか？
"Say hello to your family.",ご家族によろしく
"Tell me a bit about yourself.",あなたのことを簡単に教えていただけますか？
"What was the reason for leaving your last job?",なぜ転職しようと思いましたか？
"Do you mind if I ask why you quit your old job?",前の仕事をやめた理由を聞いても構いませんか？
"What kind of role are you seeking?",どのような仕事を求めていますか？
"What are your strong points?",あなたの長所は何ですか？
"What are your weaknesses?",あなたの短所はなんですか？
"Tell me why you want to work here.",どうしてここで働きたいのか、理由を教えてください。
"What does ‘teamwork’ mean to you?",あなたにとってチームワークとは何ですか?
"When can you start working with us?",いつから働けますか？
"Does anyone have any questions?",どなたか質問はありますか?
"That’s a good question.",良い質問ですね。
"What have you learned from some of the jobs you have held?",これまでの仕事から学んだことを教えてください。
"Thank you for giving me the opportunity to talk to you today",本日はお時間をいただきありがとうございます
"Tell me how you handled a conflict at work?",職場での対立をどう対処しましたか？
"What do you think determines a person’s progress in a good company?",優良企業において、人材の成長は何によって決まると思いますか？
"Thank you for calling.",お電話ありがとうございます。
"How may I help you?",どのようなご用件でしょうか？
"Could you hold for just a moment?",しばらくお待ちください。
"May I talk to Mr. Smith?",Mr.スミスと話せますか？
"Hello, this is John Smith speaking.",ジョン・スミスです。
"Thank you for waiting.",お待たせしました。
"Sorry for interrupting you.",お忙しいところをすみません。
"I'm afraid he's not in right now.",ただいま外出しています。
"About what time is he expected back?",何時ごろお戻りになりますか？
"Could I ask you to take a message?",メッセージを伝えていただけますか？
"Could you have him call me when he gets back?",戻ったらお電話をいただけないでしょうか。
"Okay, I'll call back later.",また、かけなおします。
"May I have his mobile number?",携帯の番号を教えてもらえますか？
"I'll be sure to let him know.",伝えておきます。
"Sorry, but the reception isn't very good here.",すみません、電波が弱いようなのですが。
"Could you hold on a second?",そのまま少し待っていただけますか？
"I’d like to thank everyone for coming today.",本日は集まっていただきありがとうございます。
"Are you ready to start the meeting?",準備はいいですか？
"Let’s get started.",それでは始めましょう。
"Let’s get started with today’s agenda.",今日の議題に入りましょう。
"Today’s agenda has two items.",今日の議題は二つあります。
"The purpose of this meeting is to determine which course of action we should take.",この会議の目的は今後の活動方針を決めることです。
"Please allow me to clarify one thing.",明確にしておきたいことが一つあります。
